"","uid","X","text","option_id_1","option_id_2","option_id_3","option_id_4","option_id_5","option_id_6","option_text_1","option_text_2","option_text_3","option_text_4","option_text_5","option_text_6","Tags"
"27","2945@1",683,"An important function of the axial skeleton is __________.",11630,11631,11632,11633,NA,NA,"to provide stability during walking","protecting the organs of the pelvic cavity","forming the hands and feet","to protect the brain, spinal cord, heart, and lungs",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,display:multiple-choice,requires-choices:n,lo:stax-anp:7-1-3,id:stax-anp:1229,cnxmod:3d4e4991-1e5b-4700-9c46-1a9ab4143bc2,dok:2"
"28","2946@1",681,"Which of these bones or body regions would be included in the appendicular skeleton?",11634,11635,11636,11637,NA,NA,"the upper limbs","the rib cage","the skull","the vertebrae",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,context-cnxmod:3d4e4991-1e5b-4700-9c46-1a9ab4143bc2,dok:2,lo:stax-anp:7-1-4,exid:stax-anp:1230,type:conceptual-or-recall"
"29","2946@1",681,"Which of these bones or body regions would be included in the appendicular skeleton?",11634,11635,11636,11637,NA,NA,"the upper limbs","the rib cage","the skull","the vertebrae",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,display:multiple-choice,requires-choices:y,cnxmod:3d4e4991-1e5b-4700-9c46-1a9ab4143bc2,dok:2,lo:stax-anp:7-1-4,id:stax-anp:1230"
"30","2947@1",703,"What is the location of the temporal bone of the skull?",11638,11639,11640,11641,NA,NA,"upper lateral side of the skull","the anterior region of the skull","lower lateral side of the skull","the roof and upper walls of the nasal cavity",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,dok:2,lo:stax-anp:7-2-1,exid:stax-anp:1231,context-cnxmod:d70fa6d3-5301-4364-9060-72d7073c2e97,type:conceptual-or-recall"
"31","2947@1",703,"What is the location of the temporal bone of the skull?",11638,11639,11640,11641,NA,NA,"upper lateral side of the skull","the anterior region of the skull","lower lateral side of the skull","the roof and upper walls of the nasal cavity",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,display:multiple-choice,requires-choices:n,dok:2,lo:stax-anp:7-2-1,id:stax-anp:1231,cnxmod:d70fa6d3-5301-4364-9060-72d7073c2e97"
"32","2948@1",687,"What suture connects the occipital, temporal, and parietal bones of the skull?",11642,11643,11644,11645,NA,NA,"squamous suture","lambdoid suture","coronal suture","sagittal suture",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,display:multiple-choice,requires-choices:n,dok:2,cnxmod:d70fa6d3-5301-4364-9060-72d7073c2e97,lo:stax-anp:7-2-2,id:stax-anp:1232"
"33","2948@1",687,"What suture connects the occipital, temporal, and parietal bones of the skull?",11642,11643,11644,11645,NA,NA,"squamous suture","lambdoid suture","coronal suture","sagittal suture",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,dok:2,context-cnxmod:d70fa6d3-5301-4364-9060-72d7073c2e97,lo:stax-anp:7-2-2,exid:stax-anp:1232,type:conceptual-or-recall"
"34","2949@1",1252,"Which bone serves as the boundary between the anterior and middle cranial fossae?",11646,11647,11648,11649,NA,NA,"the ethmoid bone","the nasal bone","the maxilla","the sphenoid bone",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,display:multiple-choice,requires-choices:n,dok:2,cnxmod:d70fa6d3-5301-4364-9060-72d7073c2e97,lo:stax-anp:7-2-3,id:stax-anp:1233"
"35","2949@1",1252,"Which bone serves as the boundary between the anterior and middle cranial fossae?",11646,11647,11648,11649,NA,NA,"the ethmoid bone","the nasal bone","the maxilla","the sphenoid bone",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,dok:2,context-cnxmod:d70fa6d3-5301-4364-9060-72d7073c2e97,lo:stax-anp:7-2-3,exid:stax-anp:1233,type:conceptual-or-recall"
"36","2950@1",569,"What is a function of epithelial tissue?",11650,11651,11652,11653,NA,NA,"to contract and provide movement","To cover external surfaces of the body","To protect, support, and bind other tissues and organs together","To allow communication in the form of electrochemical impulses",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:n,lo:stax-anp:4-1-2,id:stax-anp:1404,cnxmod:cdf9ebbd-b0fe-4fce-94b4-512f2a574f18"
"37","2950@1",569,"What is a function of epithelial tissue?",11650,11651,11652,11653,NA,NA,"to contract and provide movement","To cover external surfaces of the body","To protect, support, and bind other tissues and organs together","To allow communication in the form of electrochemical impulses",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,lo:stax-anp:4-1-2,exid:stax-anp:1404,context-cnxmod:cdf9ebbd-b0fe-4fce-94b4-512f2a574f18,type:conceptual-or-recall"
"38","2951@1",571,"Sheets of cells lining the organs of the GI track form _________ tissue",11654,11655,11656,11657,NA,NA,"muscle","connective","epithelial","nervous",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,context-cnxmod:cdf9ebbd-b0fe-4fce-94b4-512f2a574f18,lo:stax-anp:4-1-3,exid:stax-anp:1405,type:conceptual-or-recall"
"39","2951@1",571,"Sheets of cells lining the organs of the GI track form _________ tissue",11654,11655,11656,11657,NA,NA,"muscle","connective","epithelial","nervous",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:n,cnxmod:cdf9ebbd-b0fe-4fce-94b4-512f2a574f18,lo:stax-anp:4-1-3,id:stax-anp:1405"
"40","2952@1",913,"In which layer of embryonic tissue does epithelium originate?",11658,11659,11660,11661,NA,NA,"the ectoderm","the mesoderm","endoderm","all three layers",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,dok:2,context-cnxmod:cdf9ebbd-b0fe-4fce-94b4-512f2a574f18,lo:stax-anp:4-1-4,exid:stax-anp:1406,blooms:2,type:conceptual-or-recall"
"41","2952@1",913,"In which layer of embryonic tissue does epithelium originate?",11658,11659,11660,11661,NA,NA,"the ectoderm","the mesoderm","endoderm","all three layers",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,display:multiple-choice,requires-choices:n,dok:2,cnxmod:cdf9ebbd-b0fe-4fce-94b4-512f2a574f18,lo:stax-anp:4-1-4,id:stax-anp:1406,blooms:2"
"42","2953@1",911,"Which of these is true regarding the mesoderm layer in an embryo?",11662,11663,11664,11665,NA,NA,"The mesoderm is the innermost germ layer","The mesoderm gives rise to the skin, pituitary, and nervous system","The mesoderm gives rise to the lining of the airways and digestive tract","The mesoderm gives rise to bone, cartilage, blood, blood vessels, and muscle",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,dok:2,context-cnxmod:cdf9ebbd-b0fe-4fce-94b4-512f2a574f18,blooms:2,lo:stax-anp:4-1-5,exid:stax-anp:1407,type:conceptual-or-recall"
"43","2953@1",911,"Which of these is true regarding the mesoderm layer in an embryo?",11662,11663,11664,11665,NA,NA,"The mesoderm is the innermost germ layer","The mesoderm gives rise to the skin, pituitary, and nervous system","The mesoderm gives rise to the lining of the airways and digestive tract","The mesoderm gives rise to bone, cartilage, blood, blood vessels, and muscle",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,display:multiple-choice,requires-choices:y,dok:2,cnxmod:cdf9ebbd-b0fe-4fce-94b4-512f2a574f18,blooms:2,lo:stax-anp:4-1-5,id:stax-anp:1407"
"44","2954@1",1580,"Where are serous membranes the most likely to be found in the body?",11666,11667,11668,11669,NA,NA,"within the lining of body cavities closed to the external environment","any body surface that produces mucous","lining the digestive, respiratory, urinary, and reproductive tracts","within the skin",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:n,cnxmod:cdf9ebbd-b0fe-4fce-94b4-512f2a574f18,lo:stax-anp:4-1-6,id:stax-anp:1408"
"45","2954@1",1580,"Where are serous membranes the most likely to be found in the body?",11666,11667,11668,11669,NA,NA,"within the lining of body cavities closed to the external environment","any body surface that produces mucous","lining the digestive, respiratory, urinary, and reproductive tracts","within the skin",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,context-cnxmod:cdf9ebbd-b0fe-4fce-94b4-512f2a574f18,lo:stax-anp:4-1-6,exid:stax-anp:1408,type:conceptual-or-recall"
"46","2955@1",576,"Which of these is NOT true regarding the structure of epithelial tissue?",11670,11671,11672,11673,NA,NA,"Epithelial tissue has a large amount of extracellular material between cells.","Epithelial tissue is nearly completely avascular.","Epithelial tissue can replace itself quickly.","Its apical and basal surfaces are structurally different.",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,dok:2,blooms:2,lo:stax-anp:4-2-1,exid:stax-anp:1409,context-cnxmod:a16a9513-1ac9-495d-9096-bb8b31905a44,type:conceptual-or-recall"
"47","2955@1",576,"Which of these is NOT true regarding the structure of epithelial tissue?",11670,11671,11672,11673,NA,NA,"Epithelial tissue has a large amount of extracellular material between cells.","Epithelial tissue is nearly completely avascular.","Epithelial tissue can replace itself quickly.","Its apical and basal surfaces are structurally different.",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,display:multiple-choice,requires-choices:y,dok:2,blooms:2,lo:stax-anp:4-2-1,id:stax-anp:1409,cnxmod:a16a9513-1ac9-495d-9096-bb8b31905a44"
"48","2956@1",589,"The Figure illustrates a tissue from the lining of the digestive tract. What type of epithelial tissue is this?",11674,11675,11676,11677,NA,NA,"simple squamous","simple cuboidal","simple columnar","pseudostratified columnar",NA,NA,"book:stax-anp,ost-type:concept-coach,display:multiple-choice,requires-choices:n,dok:2,blooms:2,cnxmod:a16a9513-1ac9-495d-9096-bb8b31905a44,lo:stax-anp:4-2-3,id:stax-anp:1410,time:medium"
"49","2956@1",589,"The Figure illustrates a tissue from the lining of the digestive tract. What type of epithelial tissue is this?",11674,11675,11676,11677,NA,NA,"simple squamous","simple cuboidal","simple columnar","pseudostratified columnar",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:2,blooms:2,context-cnxmod:a16a9513-1ac9-495d-9096-bb8b31905a44,lo:stax-anp:4-2-3,exid:stax-anp:1410,time:medium,type:conceptual-or-recall"
"50","2957@1",872,"What is the most common form of exocrine secretion that releases material through the exocytosis of vesicles?",11678,11679,11680,11681,NA,NA,"aprocrine","holocrine","merocrine","serous",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,display:multiple-choice,requires-choices:n,dok:2,blooms:2,cnxmod:a16a9513-1ac9-495d-9096-bb8b31905a44,lo:stax-anp:4-2-4,id:stax-anp:1411"
"51","2957@1",872,"What is the most common form of exocrine secretion that releases material through the exocytosis of vesicles?",11678,11679,11680,11681,NA,NA,"aprocrine","holocrine","merocrine","serous",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,dok:2,blooms:2,context-cnxmod:a16a9513-1ac9-495d-9096-bb8b31905a44,lo:stax-anp:4-2-4,exid:stax-anp:1411,type:conceptual-or-recall"
"52","2958@1",581,"Which forms of connective tissue contain mostly fibroblasts and fibrocytes, along with the protein fibers they produce?",11682,11683,11684,11685,NA,NA,"supportive connective tissue","fluid connective tissue","connective tissue proper","ground substance",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,display:multiple-choice,requires-choices:n,dok:2,lo:stax-anp:4-3-1,id:stax-anp:1412,cnxmod:fe382569-de99-4d07-a334-757fb577e488"
"53","2958@1",581,"Which forms of connective tissue contain mostly fibroblasts and fibrocytes, along with the protein fibers they produce?",11682,11683,11684,11685,NA,NA,"supportive connective tissue","fluid connective tissue","connective tissue proper","ground substance",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,dok:2,lo:stax-anp:4-3-1,exid:stax-anp:1412,context-cnxmod:fe382569-de99-4d07-a334-757fb577e488,type:conceptual-or-recall"
"54","2959@1",915,"Which of these is not one of the many functions of connective tissue?",11686,11687,11688,11689,NA,NA,"defense against microorganisms","protection of other tissues and organs","contracting to enable movement of organs or bones","attachment of muscle to bone",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,dok:2,blooms:2,context-cnxmod:fe382569-de99-4d07-a334-757fb577e488,lo:stax-anp:4-3-2,exid:stax-anp:1413,type:conceptual-or-recall"
"55","2959@1",915,"Which of these is not one of the many functions of connective tissue?",11686,11687,11688,11689,NA,NA,"defense against microorganisms","protection of other tissues and organs","contracting to enable movement of organs or bones","attachment of muscle to bone",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,display:multiple-choice,requires-choices:y,dok:2,blooms:2,cnxmod:fe382569-de99-4d07-a334-757fb577e488,lo:stax-anp:4-3-2,id:stax-anp:1413"
"56","2960@1",599,"Which of these best describes the histology of skeletal muscle?",11690,11691,11692,11693,NA,NA,"short, striated, branched fibers with single central nuclei","non-striated short fibers","long fibers, striated, and multinucleated","long, non-striated, branched, with a single nucleus per cell",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,dok:2,lo:stax-anp:4-4-1,exid:stax-anp:1414,context-cnxmod:c069e467-4f69-4a18-a0fa-3019c619fcb4,type:conceptual-or-recall"
"57","2960@1",599,"Which of these best describes the histology of skeletal muscle?",11690,11691,11692,11693,NA,NA,"short, striated, branched fibers with single central nuclei","non-striated short fibers","long fibers, striated, and multinucleated","long, non-striated, branched, with a single nucleus per cell",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,display:multiple-choice,requires-choices:y,dok:2,lo:stax-anp:4-4-1,id:stax-anp:1414,cnxmod:c069e467-4f69-4a18-a0fa-3019c619fcb4"
"58","2961@1",921,"Which type of muscle is responsible for the involuntary movement of the digestive tract?",11694,11695,11696,11697,NA,NA,"skeletal muscle","smooth muscle","cardiac muscle","dense fibrous",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,context-cnxmod:c069e467-4f69-4a18-a0fa-3019c619fcb4,lo:stax-anp:4-4-2,exid:stax-anp:1415,type:conceptual-or-recall"
"59","2961@1",921,"Which type of muscle is responsible for the involuntary movement of the digestive tract?",11694,11695,11696,11697,NA,NA,"skeletal muscle","smooth muscle","cardiac muscle","dense fibrous",NA,NA,"book:stax-anp,ost-type:concept-coach,dok:1,blooms:1,time:short,display:multiple-choice,requires-choices:n,cnxmod:c069e467-4f69-4a18-a0fa-3019c619fcb4,lo:stax-anp:4-4-2,id:stax-anp:1415"
"60","2962@1",588,"How does skeletal muscle enable motion?",11698,11699,11700,11701,NA,NA,"contracting and pulling attached bones closer together","relaxing and stretching, allowing elastic ligaments to pull on bones","contracting and forcing food through hollow structures like the esophagus","generating intrinsic contraction rhythms without external stimulation",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,dok:2,blooms:2,context-cnxmod:c069e467-4f69-4a18-a0fa-3019c619fcb4,lo:stax-anp:4-4-3,exid:stax-anp:1416,type:conceptual-or-recall"
"61","2962@1",588,"How does skeletal muscle enable motion?",11698,11699,11700,11701,NA,NA,"contracting and pulling attached bones closer together","relaxing and stretching, allowing elastic ligaments to pull on bones","contracting and forcing food through hollow structures like the esophagus","generating intrinsic contraction rhythms without external stimulation",NA,NA,"book:stax-anp,ost-type:concept-coach,time:short,display:multiple-choice,requires-choices:n,dok:2,blooms:2,cnxmod:c069e467-4f69-4a18-a0fa-3019c619fcb4,lo:stax-anp:4-4-3,id:stax-anp:1416"
"62","2963@1",591,"Which of these nervous tissue cells are star-shaped neuroglia that help to maintain ion concentration within the tissue?",11702,11703,11704,11705,NA,NA,"neurons","astrocytes","oligodendrocytes","Schwann cells",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,dok:2,lo:stax-anp:4-5-1,exid:stax-anp:1417,context-cnxmod:9e163641-a85d-473c-9e27-68357a60d47e,type:conceptual-or-recall"
"63","2963@1",591,"Which of these nervous tissue cells are star-shaped neuroglia that help to maintain ion concentration within the tissue?",11702,11703,11704,11705,NA,NA,"neurons","astrocytes","oligodendrocytes","Schwann cells",NA,NA,"book:stax-anp,ost-type:concept-coach,blooms:1,time:short,display:multiple-choice,requires-choices:y,dok:2,lo:stax-anp:4-5-1,id:stax-anp:1417,cnxmod:9e163641-a85d-473c-9e27-68357a60d47e"
